,label,spk1,spk2,duration1,duration2
0,1,en/clips/common_voice_en_22175709.wav,de/clips/common_voice_de_22178845.wav,1.872,2.184
1,1,en/clips/common_voice_en_22175646.wav,de/clips/common_voice_de_22178839.wav,2.544,2.016
2,1,en/clips/common_voice_en_22155388.wav,de/clips/common_voice_de_22154122.wav,2.208,2.112
3,1,en/clips/common_voice_en_22155389.wav,de/clips/common_voice_de_22154124.wav,2.592,2.352
4,1,en/clips/common_voice_en_21953021.wav,de/clips/common_voice_de_21954421.wav,2.28,2.064
5,1,en/clips/common_voice_en_21953019.wav,de/clips/common_voice_de_21954420.wav,3.912,1.92
6,1,en/clips/common_voice_en_21912592.wav,de/clips/common_voice_de_21910789.wav,2.304,2.376
7,1,en/clips/common_voice_en_21912590.wav,de/clips/common_voice_de_21910777.wav,2.376,2.256
8,1,en/clips/common_voice_en_21986835.wav,de/clips/common_voice_de_21986345.wav,2.568,2.112
9,1,en/clips/common_voice_en_21986837.wav,de/clips/common_voice_de_21986459.wav,2.64,2.376
10,1,en/clips/common_voice_en_22123554.wav,de/clips/common_voice_de_22123568.wav,2.304,2.304
11,1,en/clips/common_voice_en_22123545.wav,de/clips/common_voice_de_22123570.wav,1.944,1.944
12,1,en/clips/common_voice_en_21916098.wav,de/clips/common_voice_de_21916135.wav,2.28,2.472
13,1,en/clips/common_voice_en_21916099.wav,de/clips/common_voice_de_21916139.wav,2.472,2.64
14,1,en/clips/common_voice_en_22120044.wav,de/clips/common_voice_de_22121131.wav,4.152,2.304
15,1,en/clips/common_voice_en_22120055.wav,de/clips/common_voice_de_22121125.wav,3.096,3.048
16,1,en/clips/common_voice_en_21975206.wav,de/clips/common_voice_de_21977714.wav,1.464,1.56
17,1,en/clips/common_voice_en_21975281.wav,de/clips/common_voice_de_21977710.wav,1.2,1.512
18,1,en/clips/common_voice_en_22160608.wav,de/clips/common_voice_de_22160246.wav,2.544,2.544
19,1,en/clips/common_voice_en_22160609.wav,de/clips/common_voice_de_22160243.wav,2.232,2.616
20,1,en/clips/common_voice_en_21970860.wav,de/clips/common_voice_de_21970680.wav,2.04,2.568
21,1,en/clips/common_voice_en_21970861.wav,de/clips/common_voice_de_21971019.wav,2.016,2.64
22,1,en/clips/common_voice_en_22117742.wav,de/clips/common_voice_de_22118619.wav,3.288,2.208
23,1,en/clips/common_voice_en_22117801.wav,de/clips/common_voice_de_22118676.wav,2.064,1.992
24,1,en/clips/common_voice_en_21894644.wav,de/clips/common_voice_de_21894402.wav,1.992,1.992
25,1,en/clips/common_voice_en_21894656.wav,de/clips/common_voice_de_21894361.wav,2.04,2.376
26,1,en/clips/common_voice_en_21958218.wav,de/clips/common_voice_de_21956387.wav,1.992,2.112
27,1,en/clips/common_voice_en_21958087.wav,de/clips/common_voice_de_21956385.wav,1.848,2.328
28,1,en/clips/common_voice_en_21906605.wav,de/clips/common_voice_de_21906610.wav,1.992,1.872
29,1,en/clips/common_voice_en_21906606.wav,de/clips/common_voice_de_21906611.wav,1.968,1.68
30,1,en/clips/common_voice_en_22220009.wav,de/clips/common_voice_de_22220332.wav,2.304,1.872
31,1,en/clips/common_voice_en_22220011.wav,de/clips/common_voice_de_22220327.wav,2.28,2.112
32,1,en/clips/common_voice_en_21948908.wav,de/clips/common_voice_de_21948722.wav,2.856,2.784
33,1,en/clips/common_voice_en_21948907.wav,de/clips/common_voice_de_21948720.wav,2.16,2.76
34,1,en/clips/common_voice_en_21917473.wav,de/clips/common_voice_de_21917521.wav,2.016,2.064
35,1,en/clips/common_voice_en_21917467.wav,de/clips/common_voice_de_21917490.wav,1.944,1.824
36,1,en/clips/common_voice_en_21928162.wav,de/clips/common_voice_de_21928179.wav,2.16,2.064
37,1,en/clips/common_voice_en_21928151.wav,de/clips/common_voice_de_21928181.wav,2.256,2.16
38,1,en/clips/common_voice_en_21953456.wav,de/clips/common_voice_de_21953531.wav,1.512,1.584
39,1,en/clips/common_voice_en_21953459.wav,de/clips/common_voice_de_21953530.wav,1.752,1.992
40,1,en/clips/common_voice_en_22095491.wav,de/clips/common_voice_de_22256087.wav,2.664,2.136
41,1,en/clips/common_voice_en_22095492.wav,de/clips/common_voice_de_22256086.wav,2.352,2.184
42,1,en/clips/common_voice_en_22129103.wav,de/clips/common_voice_de_22112673.wav,2.496,3.144
43,1,en/clips/common_voice_en_22129101.wav,de/clips/common_voice_de_22112674.wav,3.24,2.856
44,1,en/clips/common_voice_en_22321699.wav,de/clips/common_voice_de_22321689.wav,1.536,1.824
45,1,en/clips/common_voice_en_22321697.wav,de/clips/common_voice_de_22321688.wav,1.536,1.584
46,1,en/clips/common_voice_en_22117333.wav,de/clips/common_voice_de_22116672.wav,2.184,2.136
47,1,en/clips/common_voice_en_22117330.wav,de/clips/common_voice_de_22116660.wav,2.016,1.704
48,1,en/clips/common_voice_en_22268765.wav,de/clips/common_voice_de_22268785.wav,2.304,2.16
49,1,en/clips/common_voice_en_22269291.wav,de/clips/common_voice_de_22268786.wav,1.968,1.992
50,1,en/clips/common_voice_en_21959038.wav,de/clips/common_voice_de_21959101.wav,2.136,1.872
51,1,en/clips/common_voice_en_21959036.wav,de/clips/common_voice_de_21959102.wav,2.184,2.256
52,1,en/clips/common_voice_en_21912156.wav,de/clips/common_voice_de_21906571.wav,2.304,2.184
53,1,en/clips/common_voice_en_21912141.wav,de/clips/common_voice_de_21936288.wav,1.824,2.304
54,1,en/clips/common_voice_en_21925155.wav,de/clips/common_voice_de_21925033.wav,2.328,2.76
55,1,en/clips/common_voice_en_21925175.wav,de/clips/common_voice_de_21925068.wav,2.304,2.544
56,1,en/clips/common_voice_en_21981044.wav,de/clips/common_voice_de_21980620.wav,2.64,2.544
57,1,en/clips/common_voice_en_21981037.wav,de/clips/common_voice_de_21980786.wav,2.424,2.208
58,1,en/clips/common_voice_en_22033666.wav,de/clips/common_voice_de_22033495.wav,3.072,2.208
59,1,en/clips/common_voice_en_22033655.wav,de/clips/common_voice_de_22033464.wav,2.088,2.232
60,1,en/clips/common_voice_en_22135670.wav,de/clips/common_voice_de_22135735.wav,1.992,2.16
61,1,en/clips/common_voice_en_22135672.wav,de/clips/common_voice_de_22135710.wav,2.16,1.608
62,1,en/clips/common_voice_en_22070136.wav,de/clips/common_voice_de_22070332.wav,1.824,2.136
63,1,en/clips/common_voice_en_22070131.wav,de/clips/common_voice_de_22070284.wav,1.944,2.04
64,1,en/clips/common_voice_en_22176090.wav,de/clips/common_voice_de_22176131.wav,1.536,1.8
65,1,en/clips/common_voice_en_22176078.wav,de/clips/common_voice_de_22175962.wav,3.072,2.472
66,1,en/clips/common_voice_en_22071897.wav,de/clips/common_voice_de_22071494.wav,1.848,2.088
67,1,en/clips/common_voice_en_22071899.wav,de/clips/common_voice_de_22071489.wav,1.8,3.096
68,1,en/clips/common_voice_en_22018594.wav,de/clips/common_voice_de_22017779.wav,2.184,2.376
69,1,en/clips/common_voice_en_22018955.wav,de/clips/common_voice_de_22017778.wav,1.872,4.344
70,1,en/clips/common_voice_en_22077523.wav,de/clips/common_voice_de_22077689.wav,3.816,2.448
71,1,en/clips/common_voice_en_22077526.wav,de/clips/common_voice_de_22077693.wav,2.856,2.736
72,1,en/clips/common_voice_en_22267067.wav,de/clips/common_voice_de_22267173.wav,3.336,2.544
73,1,en/clips/common_voice_en_22267065.wav,de/clips/common_voice_de_22267172.wav,2.448,2.376
74,1,en/clips/common_voice_en_22076722.wav,de/clips/common_voice_de_22076102.wav,2.16,1.944
75,1,en/clips/common_voice_en_22076725.wav,de/clips/common_voice_de_22076107.wav,2.256,1.992
76,1,en/clips/common_voice_en_21947411.wav,de/clips/common_voice_de_21947351.wav,2.664,2.592
77,1,en/clips/common_voice_en_21947410.wav,de/clips/common_voice_de_21947197.wav,2.232,2.088
78,1,en/clips/common_voice_en_21895941.wav,de/clips/common_voice_de_21895772.wav,2.351,2.690625
79,1,en/clips/common_voice_en_21895940.wav,de/clips/common_voice_de_21895770.wav,2.40325,2.4555
80,1,en/clips/common_voice_en_21928172.wav,de/clips/common_voice_de_21928132.wav,1.536,1.776
81,1,en/clips/common_voice_en_21928173.wav,de/clips/common_voice_de_21928133.wav,1.704,1.776
82,1,en/clips/common_voice_en_22138359.wav,de/clips/common_voice_de_22218130.wav,3.864,3.144
83,1,en/clips/common_voice_en_22138355.wav,de/clips/common_voice_de_22218079.wav,4.224,3.696
84,1,en/clips/common_voice_en_22231768.wav,de/clips/common_voice_de_22231946.wav,2.928,2.76
85,1,en/clips/common_voice_en_22231770.wav,de/clips/common_voice_de_22231950.wav,3.84,2.64
86,1,en/clips/common_voice_en_22077806.wav,de/clips/common_voice_de_22076904.wav,1.776,2.4
87,1,en/clips/common_voice_en_22077807.wav,de/clips/common_voice_de_22076829.wav,1.728,2.472
88,1,en/clips/common_voice_en_21987299.wav,de/clips/common_voice_de_21986778.wav,3.36,2.304
89,1,en/clips/common_voice_en_21987343.wav,de/clips/common_voice_de_21986780.wav,2.64,2.328
90,1,en/clips/common_voice_en_22027727.wav,de/clips/common_voice_de_22030890.wav,2.376,2.304
91,1,en/clips/common_voice_en_22027734.wav,de/clips/common_voice_de_22027881.wav,2.424,2.16
92,1,en/clips/common_voice_en_21896220.wav,de/clips/common_voice_de_21896147.wav,1.488,1.248
93,1,en/clips/common_voice_en_21896207.wav,de/clips/common_voice_de_21896148.wav,1.2,1.248
94,1,en/clips/common_voice_en_22296021.wav,de/clips/common_voice_de_22296065.wav,3.504,2.784
95,1,en/clips/common_voice_en_22296012.wav,de/clips/common_voice_de_22296064.wav,3.936,2.784
96,1,en/clips/common_voice_en_21935857.wav,de/clips/common_voice_de_21935897.wav,2.544,2.496
97,1,en/clips/common_voice_en_21935858.wav,de/clips/common_voice_de_21935898.wav,2.664,2.064
98,1,en/clips/common_voice_en_21934831.wav,de/clips/common_voice_de_21930116.wav,2.016,2.16
99,1,en/clips/common_voice_en_21934840.wav,de/clips/common_voice_de_21930125.wav,2.136,1.92
100,1,en/clips/common_voice_en_21981635.wav,de/clips/common_voice_de_21951980.wav,1.584,1.824
101,1,en/clips/common_voice_en_21981618.wav,de/clips/common_voice_de_21951421.wav,1.824,2.352
102,1,en/clips/common_voice_en_22247684.wav,de/clips/common_voice_de_22247831.wav,1.944,2.976
103,1,en/clips/common_voice_en_22247689.wav,de/clips/common_voice_de_22247900.wav,2.112,2.208
104,1,en/clips/common_voice_en_21932349.wav,de/clips/common_voice_de_21932515.wav,1.464,1.464
105,1,en/clips/common_voice_en_21932298.wav,de/clips/common_voice_de_21932514.wav,1.944,1.824
106,1,en/clips/common_voice_en_22317633.wav,de/clips/common_voice_de_22312747.wav,2.304,2.496
107,1,en/clips/common_voice_en_22317651.wav,de/clips/common_voice_de_22312832.wav,2.184,2.496
108,1,en/clips/common_voice_en_21935743.wav,de/clips/common_voice_de_21935791.wav,1.824,2.088
109,1,en/clips/common_voice_en_21935741.wav,de/clips/common_voice_de_21935788.wav,2.352,1.752
